[1418, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:15PM, FG B050 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2168, U UA-TUT, 13 Wk, Mo 9:45AM - 11:25AM, H 539 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2169, U UB-TUT, 13 Wk, Mo 1:15PM - 2:55PM, H 441 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2175, U UC-TUT, 13 Wk, Mo 9:45AM - 11:25AM, MB 2.435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2174, V-LEC, 13 Wk, TuTh 8:45AM - 10:00AM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2173, V VA-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2172, V VB-TUT, 13 Wk, Mo 8:20AM - 10:00AM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2171, V VC-TUT, 13 Wk, Mo 8:20AM - 10:00AM, H 441 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2170, X-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, MB S2.330 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2154, X XA-TUT, 13 Wk, Fr 2:15PM - 3:55PM, H 539 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2155, X XB-TUT, 13 Wk, Fr 2:15PM - 3:55PM, H 441 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2156, X XC-TUT, 13 Wk, Fr 2:15PM - 3:55PM, H 429 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3925, AA-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 535 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3926, AAAE-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:55PM, H 629 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3927, AAAF-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:55PM, H 631 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3928, AAAG-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:55PM, H 401 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[2276, T-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, H 407 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2267, T TA-TUT, 13 Wk, Fr 1:15PM - 2:55PM, MB 2.445 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2268, T TB-TUT, 13 Wk, Fr 1:15PM - 2:55PM, MB 2.435 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2269, V-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, MB 3.270 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2270, V VA-TUT, 13 Wk, Mo 8:45AM - 10:25AM, H 565 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2271, V VB-TUT, 13 Wk, Mo 8:45AM - 10:25AM, MB 2.445 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2277, X-LEC, 13 Wk, TuTh 10:15AM - 11:30AM, H 407 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2275, X XA-TUT, 13 Wk, Th 5:45PM - 7:25PM, H 539 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2274, X XB-TUT, 13 Wk, We 5:45PM - 7:25PM, H 565 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6741, XX-LEC, 13 Wk, Mo 5:45PM - 8:15PM, H 411 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6742, XXXE-TUT, 13 Wk, Mo 8:30PM - 10:10PM, H 403 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[6743, XXXF-TUT, 13 Wk, Mo 8:30PM - 10:10PM, H 423 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2266, YY-LEC, 13 Wk, Tu 5:45PM - 8:15PM, H 415 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2273, YYYA-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 403 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2272, YYYB-TUT, 13 Wk, Tu 8:30PM - 10:10PM, H 423 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2185, J-LEC, 13 Wk, TuTh 11:45AM - 1:00PM, H 507 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2183, J JA-TUT, 13 Wk, Fr 1:45PM - 3:25PM, H 565 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2182, J JB-TUT, 13 Wk, Fr 1:45PM - 3:25PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2184, L-LEC, 13 Wk, TuTh 11:45AM - 1:00PM, FG B060 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2187, L LA-TUT, 13 Wk, Fr 5:45PM - 7:25PM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2186, L LB-TUT, 13 Wk, Fr 5:45PM - 7:25PM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5188, WW-LEC, 13 Wk, Th 5:45PM - 8:15PM, H 507 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5189, WWWA-TUT, 13 Wk, Th 8:30PM - 10:10PM, H 403 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[5190, WWWB-TUT, 13 Wk, Th 8:30PM - 10:10PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[1483, AA-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 507 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1484, AAAE-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:55PM, FG B055 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[1482, AAAF-TUT, 6.5 Wk 1, TuTh 1:15PM - 2:55PM, H 423 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3140, AB-LEC, 6.5 Wk 1, TuTh 6:30PM - 9:00PM, H 411 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3141, ABAG-TUT, 6.5 Wk 1, TuTh 4:15PM - 5:55PM, FG B080 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3142, ABAH-TUT, 6.5 Wk 1, TuTh 1:15PM - 2:55PM, FG B055 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[8205, F-LEC, 13 Wk, TuTh 11:45AM - 12:45PM, FG B060 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8206, F FA-TUT, 13 Wk, Tu 8:45AM - 10:25AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8207, F FB-TUT, 13 Wk, Th 8:45AM - 10:25AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[9456, G-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, FG B060 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[8208, G GA-TUT, 13 Wk, Fr 8:45AM - 10:25AM, FG B055 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[9457, G GB-TUT, 13 Wk, Fr 8:45AM - 10:25AM, FG B080 SGW, Staff, 09/03/2019 - 12/02/2019, Fall 2019]
[2191, T-LEC, 13 Wk, TuTh 11:45AM - 1:00PM, FG C070 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2190, T TA-TUT, 13 Wk, We 11:45AM - 1:25PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2198, T TB-TUT, 13 Wk, We 10:05AM - 11:45AM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3974, T TC-TUT, 13 Wk, We 11:45AM - 1:25PM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2195, V-LEC, 13 Wk, WeFr 10:15AM - 11:30AM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2194, V VA-TUT, 13 Wk, We 2:45PM - 4:25PM, H 401 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2193, V VB-TUT, 13 Wk, Mo 11:45AM - 1:25PM, H 403 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3976, V VC-TUT, 13 Wk, We 2:45PM - 4:25PM, H 403 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2197, W-LEC, 13 Wk, TuTh 2:45PM - 4:00PM, H 435 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2196, W WE-TUT, 13 Wk, We 8:20AM - 10:00AM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2199, W WF-TUT, 13 Wk, We 10:05AM - 11:45AM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3975, W WG-TUT, 13 Wk, Th 8:20AM - 10:00AM, FG B080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2188, X-LEC, 13 Wk, TuTh 11:45AM - 1:00PM, FG C080 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2189, X XA-TUT, 13 Wk, Mo 11:45AM - 1:25PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2192, X XB-TUT, 13 Wk, We 2:45PM - 4:25PM, H 423 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[3977, X XC-TUT, 13 Wk, Mo 11:45AM - 1:25PM, FG B055 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4104, AA-LEC, 6.5 Wk 1, MoWe 2:45PM - 5:15PM, H 920 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4105, AAAE-TUT, 6.5 Wk 1, MoWe 6:30PM - 8:20PM, H 627 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4106, AAAF-TUT, 6.5 Wk 1, MoWe 6:30PM - 8:20PM, H 625 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4107, AI-X-LAB, 6.5 Wk 1, Tu 10:15AM - 1:00PM, H 963 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4108, AJ-X-LAB, 6.5 Wk 1, Th 10:15AM - 1:00PM, H 963 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4109, AK-X-LAB, 6.5 Wk 1, Tu 1:15PM - 4:00PM, H 963 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4110, AL-X-LAB, 6.5 Wk 1, Th 1:15PM - 4:00PM, H 963 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[4384, AM-X-LAB, 6.5 Wk 1, Fr 1:15PM - 4:00PM, H 963 SGW, Staff, 05/06/2019 - 06/19/2019, Summer 2019]
[3350, CC-LEC, 6.5 Wk 2, MoWe 6:30PM - 9:00PM, H 937 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3351, CCCE-TUT, 6.5 Wk 2, MoWe 4:15PM - 6:05PM, H 433 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3352, CCCF-TUT, 6.5 Wk 2, MoWe 4:15PM - 6:05PM, FG B030 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3353, CI-X-LAB, 6.5 Wk 2, Mo 10:15AM - 1:00PM, H 963 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3354, CJ-X-LAB, 6.5 Wk 2, We 10:15AM - 1:00PM, H 963 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3355, CK-X-LAB, 6.5 Wk 2, Tu 10:15AM - 1:00PM, H 963 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[3923, CP-X-LAB, 6.5 Wk 2, Mo 1:15PM - 4:00PM, H 963 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[4447, CQ-X-LAB, 6.5 Wk 2, Tu 1:30PM - 4:15PM, H 963 SGW, Staff, 06/26/2019 - 08/12/2019, Summer 2019]
[2216, A-X-LAB, 13 Wk, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2205, AI-X-LAB, 13 Wk, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, Tu 5:45PM - 8:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2217, B-X-LAB, 13 Wk, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2206, BI-X-LAB, 13 Wk, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, Fr 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2218, C-X-LAB, 13 Wk, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[4964, CI-X-LAB, 13 Wk, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, Tu 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/06/2020 - 01/11/2020, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, Winter 2020]
[2220, D-X-LAB, 13 Wk, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2209, DI-X-LAB, 13 Wk, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, We 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2221, E-X-LAB, 13 Wk, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2210, EI-X-LAB, 13 Wk, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, Mo 2:50PM - 5:35PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2222, F-X-LAB, 13 Wk, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2213, FI-X-LAB, 13 Wk, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, Th 5:45PM - 8:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[4961, G-X-LAB, 13 Wk, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2200, GI-X-LAB, 13 Wk, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, Mo 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2225, H-X-LAB, 13 Wk, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2214, HH-LEC, 13 Wk, We 5:45PM - 8:15PM, MB 2.430 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2215, HHHA-TUT, 13 Wk, Fr 10:15AM - 1:00PM, H 529 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2219, HHHB-TUT, 13 Wk, Fr 10:15AM - 1:00PM, H 523 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2211, HI-X-LAB, 13 Wk, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, Fr 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/06/2020 - 01/11/2020, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, Winter 2020]
[2227, J-X-LAB, 13 Wk, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2201, JI-X-LAB, 13 Wk, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, Th 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2229, K-X-LAB, 13 Wk, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2226, KI-X-LAB, 13 Wk, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, Th 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2230, L-X-LAB, 13 Wk, We 2:45PM - 5:30PM, We 2:45PM - 5:30PM, We 2:45PM - 5:30PM, We 2:45PM - 5:30PM, We 2:45PM - 5:30PM, We 2:45PM - 5:30PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2231, LI-X-LAB, 13 Wk, We 2:50PM - 5:35PM, We 2:50PM - 5:35PM, We 2:50PM - 5:35PM, We 2:50PM - 5:35PM, We 2:50PM - 5:35PM, We 2:50PM - 5:35PM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
[2223, M-LEC, 13 Wk, TuTh 1:15PM - 2:30PM, H 520 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2224, M MA-TUT, 13 Wk, Fr 1:15PM - 3:05PM, H 562 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[2228, M MB-TUT, 13 Wk, Fr 10:15AM - 1:00PM, H 565 SGW, Staff, 01/06/2020 - 04/09/2020, Winter 2020]
[4962, N-X-LAB, 13 Wk, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/12/2020 - 01/18/2020, 01/26/2020 - 02/01/2020, 02/09/2020 - 02/15/2020, 03/01/2020 - 03/07/2020, 03/15/2020 - 03/21/2020, 03/29/2020 - 04/04/2020, Winter 2020]
[2234, NI-X-LAB, 13 Wk, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, Tu 8:45AM - 11:30AM, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, H 963 SGW, Staff, Staff, Staff, Staff, Staff, Staff, 01/19/2020 - 01/25/2020, 02/02/2020 - 02/08/2020, 02/16/2020 - 02/22/2020, 03/08/2020 - 03/14/2020, 03/22/2020 - 03/28/2020, 04/05/2020 - 04/09/2020, Winter 2020]
